旧色,token,归类,出现次数,ΔL*
#fff,--x-n100,endpoint,200,0.0
#6b7280,--x-n50,neutral,24,2.1
#e3e3e3,--x-n88,neutral,16,2.44
#0d0d0d,--x-n12,endpoint,15,0.0
#7c5cff,--x-pine-51,brand→pine,15,0.11
#1f1f27,--x-n12,neutral,14,0.11
#5d5d5d,--x-n41,neutral,13,1.52
#9f9f9f,--x-n68,neutral,13,2.54
#8f8f8f,--x-n60,neutral,13,0.36
#ececec,--x-n96,neutral,12,2.52
#5b54c9,--x-pine-44,brand→pine,12,1.54
#9ca3af,--x-n68,neutral,11,1.24
#fafafa,--x-n100,neutral,10,1.38
#9a9aa2,--x-n60,neutral,10,4.06
#dc2626,--x-cinnabar-51,cinnabar,9,2.95
#e2e2e8,--x-n88,neutral,9,2.24
#1f1f24,--x-n12,neutral,9,0.23
#ececf0,--x-n96,neutral,8,2.42
#9a9aa5,--x-n68,neutral,8,4.12
#f2f2f6,--x-n96,neutral,8,0.33
#e2e2ea,--x-n88,neutral,8,2.3
#fbfcff,--x-pine-96,brand→pine,8,3.06
#fafbfc,--x-n100,neutral,8,1.08
#eef2ff,--x-pine-96,brand→pine,7,0.37
#dfe5f3,--x-pine-90,brand→pine,7,0.89
#182033,--x-n12,brand→neutral,7,0.21
#f2f2f2,--x-n96,neutral,6,0.43
#d33,--x-cinnabar-51,cinnabar,6,1.41
#fafafc,--x-n100,neutral,6,1.33
#f0f0f4,--x-n96,neutral,6,1.02
#fee2e2,--x-cinnabar-96,cinnabar,6,1.47
#e6e6ee,--x-n88,neutral,6,3.71
#eeeef4,--x-n96,neutral,6,1.67
#61708f,--x-n50,neutral,6,2.88
#b3b3b3,--x-n78,neutral,5,4.72
#444,--x-n30,neutral,5,1.2
#38bdf8,--x-pine-74,brand→pine,5,1.9
#6366f1,--x-pine-51,brand→pine,5,0.88
#e0e7ff,--x-pine-90,brand→pine,5,1.8
#ececf1,--x-n96,neutral,5,2.39
#f6f8ff,--x-pine-96,brand→pine,5,1.7
#8a94a6,--x-n60,neutral,5,1.31
#e8ebf0,--x-n96,neutral,5,2.97
#b45309,--x-warn-44,warn,5,2.94
#7b86a3,--x-n60,neutral,5,3.77
#16a34a,--x-pine-58,pine,5,0.68
#f5f5f5,--x-n96,neutral,4,0.62
#f0f0f0,--x-n96,neutral,4,1.12
#1e2a3a,--x-n20,brand→neutral,4,3.18
#efefef,--x-n96,neutral,4,1.47
#4f46e5,--x-pine-44,brand→pine,4,3.23
#000,--x-n12,endpoint,4,0.0
#7a7a86,--x-n50,neutral,4,1.58
#555,--x-n41,neutral,4,4.87
#b91c1c,--x-cinnabar-44,cinnabar,4,4.07
#8a8a94,--x-n60,neutral,4,1.99
#b9a6ff,--x-pine-74,brand→pine,4,1.37
#d9d9e0,--x-n88,neutral,4,0.92
#303946,--x-n20,neutral,4,3.79
#dfe3e8,--x-n88,neutral,4,2.27
#f7f8fb,--x-n96,brand→neutral,3,1.66
#5268dd,--x-pine-51,brand→pine,3,2.83
#c9c9c9,--x-n78,neutral,3,3.3
#f4f3ff,--x-pine-96,brand→pine,3,0.32
#f7f7f7,--x-n96,neutral,3,1.31
#3f6b52,--x-n41,neutral,3,0.49
#9a9a9a,--x-n60,neutral,3,3.84
#333,--x-n20,neutral,3,1.37
#2c8a55,--x-pine-51,pine,3,0.14
#e8e8ee,--x-n96,neutral,3,3.77
#d97706,--x-warn-58,warn,3,1.86
#ececf2,--x-n96,neutral,3,2.37
#7a5b00,--x-warn-44,warn,3,3.31
#f7f7fa,--x-n96,neutral,3,1.39
#22c55e,--x-pine-74,pine,3,3.9
#8a8a96,--x-n60,neutral,3,1.93
#c7d2fe,--x-pine-90,brand→pine,3,5.3
#dcfce7,--x-pine-96,pine,3,0.34
#15803d,--x-pine-44,pine,3,2.92
#4338ca,--x-pine-30,brand→pine,3,4.72
#f8f8fb,--x-n96,neutral,3,1.73
#f59e0b,--x-warn-74,warn,3,1.96
#f8f9ff,--x-pine-96,brand→pine,3,2.09
#4b5870,--x-n41,neutral,3,3.81
#b0b0ba,--x-n68,neutral,3,4.08
#b0b0b8,--x-n68,neutral,3,4.02
#d1342f,--x-cinnabar-44,cinnabar,3,3.23
#e3e3ea,--x-n88,neutral,3,2.62
#6a6a72,--x-n41,neutral,3,4.05
#edf0f4,--x-n96,neutral,3,1.24
#f1f1f6,--x-n96,neutral,3,0.65
#777f8c,--x-n50,neutral,3,2.94
#d9dde4,--x-n88,neutral,3,0.2
#e1e5ea,--x-n88,neutral,3,2.98
#eff8f5,--x-pine-96,pine,3,0.94
#343d49,--x-n30,neutral,3,4.64
#cfd6f6,--x-pine-90,brand→pine,3,3.97
#cfd5df,--x-n88,neutral,3,2.71
#fecaca,--x-cinnabar-90,cinnabar,3,2.68
#27324a,--x-n20,brand→neutral,3,0.98
#f1f4f8,--x-n96,brand→neutral,2,0.15
#eef1ff,--x-pine-96,brand→pine,2,0.62
#e0e0e0,--x-n88,neutral,2,1.38
#ff7db0,--x-cinnabar-74,cinnabar,2,5.26
#3a3a3a,--x-n20,neutral,2,4.55
#4b3fa8,--x-pine-30,brand→pine,2,3.88
#f4f4f4,--x-n96,neutral,2,0.27
#aaa9b8,--x-n68,neutral,2,1.71
#dedee8,--x-n88,neutral,2,0.94
#fbfbfd,--x-n100,brand→neutral,2,0.99
#7672e7,--x-pine-51,brand→pine,2,2.68
#2d2d2d,--x-n20,neutral,2,1.4
#7a7a7a,--x-n50,neutral,2,1.22
#d64545,--x-cinnabar-51,cinnabar,2,0.22
#f0f1f3,--x-n96,neutral,2,0.8
